frame,tag,x,y,w,h,newframe
143,3,146,342,344,140,1
144,3,192,327,339,152,2
145,3,233,338,343,145,3
146,3,273,341,359,144,4
147,3,319,341,344,142,5
148,3,362,341,336,141,6
149,3,401,340,339,143,7
150,3,444,340,349,142,8
151,3,488,341,338,142,9
152,3,528,341,340,141,10
153,3,570,338,353,144,11
154,3,612,340,345,144,12
155,3,654,340,343,143,13
156,3,695,339,338,144,14
157,3,737,342,338,141,15
158,3,776,338,322,142,16
159,3,817,341,302,141,17
160,3,855,343,275,140,18
161,3,897,344,347,139,19
162,3,937,342,342,141,20
163,3,977,349,302,134,21
164,3,1018,340,260,140,22
166,3,1129,345,150,136,24
167,3,1156,346,123,134,25
168,3,1175,348,104,133,26
169,3,1214,357,65,103,27
170,3,1252,369,27,69,28
367,4,706,373,169,222,4
368,4,703,353,158,201,5
369,4,701,336,148,192,6
370,4,699,319,142,184,7
371,4,695,303,137,165,8
372,4,695,288,126,151,9
373,4,693,274,124,149,10
374,4,691,263,122,143,11
375,4,689,250,118,134,12
376,4,686,239,114,121,13
377,4,687,228,103,112,14
378,4,684,218,101,104,15
379,4,683,209,98,98,16
380,4,684,199,91,100,17
381,4,682,189,89,94,18
382,4,681,180,86,94,19
383,4,679,171,85,89,20
384,4,677,164,83,88,21
385,4,677,156,79,86,22
386,4,675,150,80,81,23
387,4,676,144,75,76,24
388,4,674,137,74,75,25
389,4,674,131,71,73,26
390,4,674,126,68,73,27
391,4,672,119,69,70,28
392,4,672,115,66,68,29
393,4,671,110,67,65,30
394,4,670,104,64,68,31
395,4,670,100,62,63,32
396,4,670,96,59,60,33
397,4,669,92,58,60,34
398,4,668,88,58,65,35
401,4,665,77,58,57,38
402,4,666,71,55,57,39
403,4,664,69,55,54,40
404,4,664,66,54,52,41
405,4,664,63,53,49,42
406,4,665,58,50,52,43
407,4,664,54,50,53,44
